Hour,Mon,Tue,Wed ,Thur,Fri,Sat,Sun
6,168,362,560,756,944,1169,1371
7,168,362,560,756,944,1169,1371
8,168,362,560,756,944,1169,1371
9,166,360,559,755,942,1167,1369
10,168,362,560,756,944,1150,1352
11,144,344,540,736,922,1132,1331
12,133,333,528,725,909,1111,1305
13,123,324,519,717,900,1095,1290
14,122,323,517,714,896,1068,1284
15,122,324,518,715,898,1089,1286
16,122,325,519,715,896,1092,1290
17,118,320,515,712,891,1094,1295
18,117,319,510,708,885,1096,1305
19,124,321,513,711,887,1105,1320
20,137,332,523,722,900,1123,1334
21,150,345,239,735,919,1141,1350
22,168,362,560,756,944,1169,1371
23,168,362,560,756,944,1169,1371
